row,repository,group,component,state,evidence,snapshot,source_paths
Tangle,tangle,Languages and research,Interpreter / runner,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],compiler/lib/eval.ml; compiler/test/test_eval.ml; src/rust/src/eval.rs
Tangle,tangle,Languages and research,Meta-interpreter,?,No sufficient component assessment in this audit. This is not a claim of absence.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],
Tangle,tangle,Languages and research,Compiler / build,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],compiler/bin/dune; compiler/bin/main.ml; compiler/dune-project
Tangle,tangle,Languages and research,Meta-compiler,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],proofs/bootstrap-lean.sh
Tangle,tangle,Languages and research,Code generators,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],compiler/tangle-lsp/src/backend.rs; compiler/test/tg3/tg3_emit.ml
Tangle,tangle,Languages and research,Coprocessor / GPU,?,No sufficient component assessment in this audit. This is not a claim of absence.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],
Tangle,tangle,Languages and research,FFI / ABI / verifier,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],ffi/zig/build.zig; ffi/zig/src/main.zig; ffi/zig/test/integration_test.zig
Tangle,tangle,Languages and research,Standard library,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],lib/stdlib.tangle
Tangle,tangle,Languages and research,Aggregate library,?,No sufficient component assessment in this audit. This is not a claim of absence.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],
Tangle,tangle,Languages and research,Other libraries / packages,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],.machine_readable/6a2/ECOSYSTEM.a2ml
Tangle,tangle,Languages and research,Unit / conformance tests,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],compiler/tangle-wasm/tests/differential.rs; compiler/test/dune; compiler/test/test_check.ml
Tangle,tangle,Languages and research,Property tests / fuzzing,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],compiler/fuzz/fuzz_lexer.ml; compiler/fuzz/fuzz_parser.ml; src/rust/fuzz/Cargo.toml
Tangle,tangle,Languages and research,Formal model / proofs,P,"Lean core checked: progress, preservation, determinism, safety, and inference equivalence. This is the model, not a compiler refinement proof.",187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],proofs/TG3Differential.lean; proofs/Tangle.lean
Tangle,tangle,Languages and research,Proof / runtime correspondence,?,An end-to-end refinement from the OCaml implementation to the checked Lean core was not established.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],ASSUMPTIONS.md; proofs/TG3-REFINEMENT.md
Tangle,tangle,Languages and research,CI / security gates,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],.github/workflows/codeql.yml; .github/workflows/dependabot-automerge.yml; .github/workflows/dogfood-gate.yml
Tangle,tangle,Languages and research,Benchmarks / measurement,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],bench/bench_lexer.ml; bench/bench_lexer.rs; bench/bench_parser.ml
Tangle,tangle,Languages and research,Release / packaging,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],guix.scm
Oblíbený,oblibeny,Languages and research,Syntax,D,Reversible core syntax/semantics reviewed; whole-toolchain 100% completion claims were unsupported.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,docs/LANGUAGE-SPEC.md; docs/academic/engineering/01-hardware-specifications.adoc; docs/academic/engineering/02-protocol-specifications.adoc
Oblíbený,oblibeny,Languages and research,Semantics,D,Reversible core syntax/semantics reviewed; whole-toolchain 100% completion claims were unsupported.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,
Oblíbený,oblibeny,Languages and research,Type checker,!,Static analysis has call/size gaps; debugger stepping is an index and continuation is unfinished; profiler reports zero placeholders; deployment completion not established.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,lib/typecheck.ml; src/abi/Lang/Checker.idr
Oblíbený,oblibeny,Languages and research,Ownership / effects,?,No sufficient component assessment in this audit. This is not a claim of absence.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,
Oblíbený,oblibeny,Languages and research,AST,I,OCaml core implementation inspected; 27 conformance cases passed for the tested slice.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,lib/ast.ml; src/abi/Lang/Syntax.idr
Oblíbený,oblibeny,Languages and research,Judgement / evidence graph,?,No sufficient component assessment in this audit. This is not a claim of absence.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,
Oblíbený,oblibeny,Languages and research,Lexer,I,OCaml core implementation inspected; 27 conformance cases passed for the tested slice.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,.github/workflows/secret-scanner.yml; lib/lexer.ml
Oblíbený,oblibeny,Languages and research,Parser,I,OCaml core implementation inspected; 27 conformance cases passed for the tested slice.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,lib/parser.mly
Oblíbený,oblibeny,Languages and research,Elaboration / IR,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,docs/specs/ir/oir-specification.adoc
Oblíbený,oblibeny,Languages and research,REPL,?,No sufficient component assessment in this audit. This is not a claim of absence.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,
Oblíbený,oblibeny,Languages and research,LSP / debugger,!,Static analysis has call/size gaps; debugger stepping is an index and continuation is unfinished; profiler reports zero placeholders; deployment completion not established.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,LSP-SERVER-IMPLEMENTATION.md; bin/oblibeny_lsp.ml; lib/debugger.ml
Oblíbený,oblibeny,Languages and research,Interpreter / runner,I,OCaml core implementation inspected; 27 conformance cases passed for the tested slice.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,lib/eval.ml; src/abi/Lang/Eval.idr
Oblíbený,oblibeny,Languages and research,Meta-interpreter,?,No sufficient component assessment in this audit. This is not a claim of absence.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,
Oblíbený,oblibeny,Languages and research,Compiler / build,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,docs/specs/architecture/compiler-architecture.adoc; ffi/zig/build.zig
Oblíbený,oblibeny,Languages and research,Meta-compiler,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,Containerfile.bootstrap; docs/DISTROLESS-BOOTSTRAP.adoc
Oblíbený,oblibeny,Languages and research,Code generators,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,docs/specs/backend/rust-backend.adoc
Oblíbený,oblibeny,Languages and research,Coprocessor / GPU,?,No sufficient component assessment in this audit. This is not a claim of absence.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,
Oblíbený,oblibeny,Languages and research,FFI / ABI / verifier,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,docs/academic/verification/01-formal-verification.adoc; docs/academic/verification/02-program-analysis.adoc; docs/academic/verification/03-concurrency-distributed.adoc
Oblíbený,oblibeny,Languages and research,Standard library,?,No sufficient component assessment in this audit. This is not a claim of absence.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,
Oblíbený,oblibeny,Languages and research,Aggregate library,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,examples/alib/README.md; examples/alib/arithmetic.obl; examples/alib/comparison.obl
Oblíbený,oblibeny,Languages and research,Other libraries / packages,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,.machine_readable/6a2/ECOSYSTEM.a2ml; examples/packages/hello.zpkg/META.scm; examples/packages/hello.zpkg/README.adoc
Oblíbený,oblibeny,Languages and research,Unit / conformance tests,T,27 conformance cases passed; this does not certify debugger or deployment.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,test/conformance_test.ml; test/dune
Oblíbený,oblibeny,Languages and research,Property tests / fuzzing,?,No sufficient component assessment in this audit. This is not a claim of absence.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,
Oblíbený,oblibeny,Languages and research,Formal model / proofs,?,No sufficient component assessment in this audit. This is not a claim of absence.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,
Oblíbený,oblibeny,Languages and research,Proof / runtime correspondence,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,docs/proof-debt.md
Oblíbený,oblibeny,Languages and research,CI / security gates,I,CI/security configuration and actual PR checks were inspected and repaired in PR 127. Build/test/security results are separate from main branch policy and merge approval; follow the live PR for final status.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,.github/workflows/ci.yml; .github/workflows/codeql.yml; .github/workflows/governance.yml
Oblíbený,oblibeny,Languages and research,Benchmarks / measurement,!,Static analysis has call/size gaps; debugger stepping is an index and continuation is unfinished; profiler reports zero placeholders; deployment completion not established.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,lib/profiler.ml
Oblíbený,oblibeny,Languages and research,Release / packaging,!,Static analysis has call/size gaps; debugger stepping is an index and continuation is unfinished; profiler reports zero placeholders; deployment completion not established.,105971c7c52227dbb12dc4bfda9e2a02e46c637b; ## main...origin/main [ahead 3]; repair observations refer separately to https://github.com/hyperpolymath/oblibeny/pull/127,
KitchenSpeak,kitchenspeak,Languages and research,Syntax,D,Cooking syntax and safety model reviewed; physical guarantees depend on sensor and environment assumptions.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",docs/spec/0001-lexical-grammar.adoc; docs/spec/0002-concrete-grammar.adoc; grammar.ebnf
KitchenSpeak,kitchenspeak,Languages and research,Semantics,D,Cooking syntax and safety model reviewed; physical guarantees depend on sensor and environment assumptions.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",docs/design/0002-semantics.adoc
KitchenSpeak,kitchenspeak,Languages and research,Type checker,?,No sufficient component assessment in this audit. This is not a claim of absence.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",
KitchenSpeak,kitchenspeak,Languages and research,Ownership / effects,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",decisions/0004-echo-attaches-to-linear-dyadic.adoc; docs/governance/audit/effects/0.3-AI-MANIFEST.a2ml; docs/governance/audit/effects/README.adoc
KitchenSpeak,kitchenspeak,Languages and research,AST,I,Compiler frontend sources are present and the conformance corpus exercises accepted and rejected inputs.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",src/compiler/ast.ml
KitchenSpeak,kitchenspeak,Languages and research,Judgement / evidence graph,?,No sufficient component assessment in this audit. This is not a claim of absence.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",
KitchenSpeak,kitchenspeak,Languages and research,Lexer,I,Compiler frontend sources are present and the conformance corpus exercises accepted and rejected inputs.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",.github/workflows/secret-scanner.yml; src/compiler/lexer.ml
KitchenSpeak,kitchenspeak,Languages and research,Parser,I,Compiler frontend sources are present and the conformance corpus exercises accepted and rejected inputs.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",docs/spec/0001-lexical-grammar.adoc; docs/spec/0002-concrete-grammar.adoc; grammar.ebnf
KitchenSpeak,kitchenspeak,Languages and research,Elaboration / IR,?,No sufficient component assessment in this audit. This is not a claim of absence.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",
KitchenSpeak,kitchenspeak,Languages and research,REPL,?,No sufficient component assessment in this audit. This is not a claim of absence.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",
KitchenSpeak,kitchenspeak,Languages and research,LSP / debugger,?,No sufficient component assessment in this audit. This is not a claim of absence.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",
KitchenSpeak,kitchenspeak,Languages and research,Interpreter / runner,?,No sufficient component assessment in this audit. This is not a claim of absence.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",
KitchenSpeak,kitchenspeak,Languages and research,Meta-interpreter,?,No sufficient component assessment in this audit. This is not a claim of absence.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",
KitchenSpeak,kitchenspeak,Languages and research,Compiler / build,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",src/compiler/ast.ml; src/compiler/check.ml; src/compiler/dune
KitchenSpeak,kitchenspeak,Languages and research,Meta-compiler,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",features/ssg/ssg-bootstrap.sh
KitchenSpeak,kitchenspeak,Languages and research,Code generators,?,No sufficient component assessment in this audit. This is not a claim of absence.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",
KitchenSpeak,kitchenspeak,Languages and research,Coprocessor / GPU,?,No sufficient component assessment in this audit. This is not a claim of absence.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",
KitchenSpeak,kitchenspeak,Languages and research,FFI / ABI / verifier,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",.machine_readable/scripts/verification/0.3-AI-MANIFEST.a2ml; .machine_readable/scripts/verification/README.adoc; src/interface/Abi/0.3-AI-MANIFEST.a2ml
KitchenSpeak,kitchenspeak,Languages and research,Standard library,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",docs/design/0004-stdlib-ontology.adoc; src/compiler/stdlib_ks.ml
KitchenSpeak,kitchenspeak,Languages and research,Aggregate library,?,No sufficient component assessment in this audit. This is not a claim of absence.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",
KitchenSpeak,kitchenspeak,Languages and research,Other libraries / packages,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",.machine_readable/6a2/ECOSYSTEM.a2ml; .machine_readable/ECOSYSTEM.a2ml
KitchenSpeak,kitchenspeak,Languages and research,Unit / conformance tests,T,15 positive/negative conformance cases passed.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",src/interface/ffi/test/0.4-AI-MANIFEST.a2ml; src/interface/ffi/test/README.adoc; src/interface/ffi/test/integration_test.zig
KitchenSpeak,kitchenspeak,Languages and research,Property tests / fuzzing,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",tests/fuzz/README.adoc; verification/fuzzing/0.2-AI-MANIFEST.a2ml; verification/fuzzing/README.adoc
KitchenSpeak,kitchenspeak,Languages and research,Formal model / proofs,!,NoCurdle contains sensor-bound and temperature postulates; no unconditional physical-safety theorem or runtime refinement was established.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",proofs/agda/Dough.agda; proofs/agda/EchoBridge.agda; proofs/agda/NoCurdle.agda
KitchenSpeak,kitchenspeak,Languages and research,Proof / runtime correspondence,!,NoCurdle contains sensor-bound and temperature postulates; no unconditional physical-safety theorem or runtime refinement was established.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",
KitchenSpeak,kitchenspeak,Languages and research,CI / security gates,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",.github/workflows/boj-build.yml; .github/workflows/codeql.yml; .github/workflows/dependabot-automerge.yml
KitchenSpeak,kitchenspeak,Languages and research,Benchmarks / measurement,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",benches/template_bench.sh; verification/benchmarks/0.2-AI-MANIFEST.a2ml; verification/benchmarks/README.adoc
KitchenSpeak,kitchenspeak,Languages and research,Release / packaging,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,"7e85048ba46c45f2e0fbb159de73f58585a2a430; ## main...origin/main [ahead 11, behind 27]",.github/workflows/release.yml; build/guix.scm; manifest.scm
Eclexia,eclexia,Languages and research,Syntax,D,"Resource-aware language implementation, compiler and CLI were reviewed.","6025f7742d99b0925bdf64ba5f5aa7af1664d0f2; ## main...origin/main [ahead 109, behind 9]",SPECIFICATION.md; editors/vscode/syntaxes/eclexia.tmLanguage.json; formal/coq/src/Syntax.v
Eclexia,eclexia,Languages and research,Semantics,D,"Resource-aware language implementation, compiler and CLI were reviewed.","6025f7742d99b0925bdf64ba5f5aa7af1664d0f2; ## main...origin/main [ahead 109, behind 9]",spec/axiomatic-semantics.md; spec/operational-semantics.md
Eclexia,eclexia,Languages and research,Type checker,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,"6025f7742d99b0925bdf64ba5f5aa7af1664d0f2; ## main...origin/main [ahead 109, behind 9]",formal/coq/src/Typing.v
Eclexia,eclexia,Languages and research,Ownership / effects,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,"6025f7742d99b0925bdf64ba5f5aa7af1664d0f2; ## main...origin/main [ahead 109, behind 9]",compiler/eclexia-effects/Cargo.toml; compiler/eclexia-effects/src/evidence.rs; compiler/eclexia-effects/src/lib.rs
Eclexia,eclexia,Languages and research,AST,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,"6025f7742d99b0925bdf64ba5f5aa7af1664d0f2; ## main...origin/main [ahead 109, behind 9]",formal/coq/src/Syntax.v
Eclexia,eclexia,Languages and research,Judgement / evidence graph,?,No sufficient component assessment in this audit. This is not a claim of absence.,"6025f7742d99b0925bdf64ba5f5aa7af1664d0f2; ## main...origin/main [ahead 109, behind 9]",
Eclexia,eclexia,Languages and research,Lexer,I,Rust lexer/parser/compiler/bytecode/VM/CLI and standard-library implementation inspected.,"6025f7742d99b0925bdf64ba5f5aa7af1664d0f2; ## main...origin/main [ahead 109, behind 9]",.github/workflows/secret-scanner.yml; compiler/eclexia-lexer/Cargo.toml; compiler/eclexia-lexer/src/lib.rs
Eclexia,eclexia,Languages and research,Parser,I,Rust lexer/parser/compiler/bytecode/VM/CLI and standard-library implementation inspected.,"6025f7742d99b0925bdf64ba5f5aa7af1664d0f2; ## main...origin/main [ahead 109, behind 9]",compiler/eclexia-parser/Cargo.toml; compiler/eclexia-parser/src/error.rs; compiler/eclexia-parser/src/expr.rs
Eclexia,eclexia,Languages and research,Elaboration / IR,?,No sufficient component assessment in this audit. This is not a claim of absence.,"6025f7742d99b0925bdf64ba5f5aa7af1664d0f2; ## main...origin/main [ahead 109, behind 9]",
Eclexia,eclexia,Languages and research,REPL,I,Rust lexer/parser/compiler/bytecode/VM/CLI and standard-library implementation inspected.,"6025f7742d99b0925bdf64ba5f5aa7af1664d0f2; ## main...origin/main [ahead 109, behind 9]",compiler/eclexia/src/repl.rs
Eclexia,eclexia,Languages and research,LSP / debugger,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,"6025f7742d99b0925bdf64ba5f5aa7af1664d0f2; ## main...origin/main [ahead 109, behind 9]",compiler/eclexia-debugger/Cargo.toml; compiler/eclexia-debugger/src/breakpoint.rs; compiler/eclexia-debugger/src/inspection.rs
Eclexia,eclexia,Languages and research,Interpreter / runner,I,Rust lexer/parser/compiler/bytecode/VM/CLI and standard-library implementation inspected.,"6025f7742d99b0925bdf64ba5f5aa7af1664d0f2; ## main...origin/main [ahead 109, behind 9]",compiler/eclexia-codegen/src/vm.rs; compiler/eclexia-interp/src/eval.rs; compiler/eclexia/src/bench_runner.rs
Eclexia,eclexia,Languages and research,Meta-interpreter,?,No sufficient component assessment in this audit. This is not a claim of absence.,"6025f7742d99b0925bdf64ba5f5aa7af1664d0f2; ## main...origin/main [ahead 109, behind 9]",
Eclexia,eclexia,Languages and research,Compiler / build,I,Rust lexer/parser/compiler/bytecode/VM/CLI and standard-library implementation inspected.,"6025f7742d99b0925bdf64ba5f5aa7af1664d0f2; ## main...origin/main [ahead 109, behind 9]",.clusterfuzzlite/build.sh; .github/workflows/build.yml; compiler/eclexia-absinterp/Cargo.toml
